date_mutation,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,code_commune,nom_commune,code_departement
2023-07-18,370820.0,Appartement,43.6,1,75056,Paris,75
2022-07-29,297439.0,Appartement,33.1,1,75056,Paris,75
2022-06-28,541763.0,Appartement,44.6,1,75056,Paris,75
2022-07-11,360967.0,Appartement,42.3,1,75056,Paris,75
2022-02-24,340929.0,Appartement,32.4,1,75056,Paris,75
2024-05-09,473402.0,Appartement,41.5,1,75056,Paris,75
2022-01-14,353435.0,Appartement,32.5,1,75056,Paris,75
2024-05-15,424503.0,Appartement,46.8,1,75056,Paris,75
2023-11-21,323193.0,Appartement,35.7,1,75056,Paris,75
2024-01-06,292874.0,Appartement,29.3,1,75056,Paris,75
2022-03-30,536940.0,Appartement,49.1,1,75056,Paris,75
2024-02-15,489999.0,Appartement,46.0,1,75056,Paris,75
2024-01-11,276420.0,Appartement,28.7,1,75056,Paris,75
2022-04-04,477086.0,Appartement,42.0,1,75056,Paris,75
2022-06-13,514792.0,Appartement,44.2,1,75056,Paris,75
2024-02-18,594738.0,Appartement,49.4,1,75056,Paris,75
2024-01-18,376376.0,Appartement,34.0,1,75056,Paris,75
2023-07-01,305667.0,Appartement,30.9,1,75056,Paris,75
2022-05-27,510572.0,Appartement,45.3,1,75056,Paris,75
2023-05-17,390284.0,Appartement,42.8,1,75056,Paris,75
2023-03-26,308806.0,Appartement,30.9,1,75056,Paris,75
2022-04-25,534911.0,Appartement,44.8,1,75056,Paris,75
2023-10-09,279089.0,Appartement,32.7,1,75056,Paris,75
2023-10-07,323689.0,Appartement,37.3,1,75056,Paris,75
2024-07-28,339046.0,Appartement,32.3,1,75056,Paris,75
2023-06-23,273188.0,Appartement,30.4,1,75056,Paris,75
2024-03-28,474273.0,Appartement,46.5,1,75056,Paris,75
2022-10-11,455713.0,Appartement,36.2,1,75056,Paris,75
2022-04-07,353029.0,Appartement,40.2,1,75056,Paris,75
2022-11-24,447576.0,Appartement,49.5,1,75056,Paris,75
2022-05-11,485256.0,Appartement,47.7,1,75056,Paris,75
2024-08-16,401221.0,Appartement,36.8,1,75056,Paris,75
2022-01-24,507876.0,Appartement,40.7,1,75056,Paris,75
2023-07-01,396986.0,Appartement,44.7,1,75056,Paris,75
2023-08-25,461951.0,Appartement,47.0,1,75056,Paris,75
2023-06-24,393675.0,Appartement,38.2,1,75056,Paris,75
2024-11-05,609013.0,Appartement,52.5,1,75056,Paris,75
2023-09-04,613659.0,Appartement,50.9,1,75056,Paris,75
2023-02-12,516077.0,Appartement,49.0,1,75056,Paris,75
2024-12-22,356198.0,Appartement,30.7,1,75056,Paris,75
2024-09-27,556694.0,Appartement,51.0,1,75056,Paris,75
2023-09-22,333390.0,Appartement,27.1,1,75056,Paris,75
2022-06-11,310585.0,Appartement,33.0,1,75056,Paris,75
2022-05-22,301750.0,Appartement,28.9,1,75056,Paris,75
2022-09-15,559525.0,Appartement,52.6,1,75056,Paris,75
2022-12-05,311886.0,Appartement,30.0,1,75056,Paris,75
2024-05-16,406564.0,Appartement,33.7,1,75056,Paris,75
2023-02-16,643365.0,Appartement,52.3,1,75056,Paris,75
2024-02-04,459455.0,Appartement,45.6,1,75056,Paris,75
2022-09-05,404977.0,Appartement,38.3,1,75056,Paris,75
2022-02-13,287808.0,Appartement,33.2,1,75056,Paris,75
2023-03-28,395266.0,Appartement,42.2,1,75056,Paris,75
2022-05-01,304795.0,Appartement,26.8,1,75056,Paris,75
2023-11-08,399030.0,Appartement,32.7,1,75056,Paris,75
2024-09-21,267889.0,Appartement,28.5,1,75056,Paris,75
2024-08-26,289269.0,Appartement,32.3,1,75056,Paris,75
2024-04-13,343793.0,Appartement,33.1,1,75056,Paris,75
2024-06-01,279185.0,Appartement,31.7,1,75056,Paris,75
2022-04-21,364559.0,Appartement,36.0,1,75056,Paris,75
2022-07-21,557740.0,Appartement,44.5,1,75056,Paris,75
2022-08-12,323130.0,Appartement,28.2,1,75056,Paris,75
2024-07-07,305403.0,Appartement,33.2,1,75056,Paris,75
2024-08-05,277871.0,Appartement,30.3,1,75056,Paris,75
2024-06-26,407620.0,Appartement,33.2,1,75056,Paris,75
2022-07-20,576962.0,Appartement,48.1,1,75056,Paris,75
2022-01-31,351456.0,Appartement,27.9,1,75056,Paris,75
2023-04-30,644035.0,Appartement,52.4,1,75056,Paris,75
2023-03-14,323630.0,Appartement,31.0,1,75056,Paris,75
2022-12-04,604637.0,Appartement,49.6,1,75056,Paris,75
2023-06-28,460156.0,Appartement,36.7,1,75056,Paris,75
2023-08-08,598914.0,Appartement,51.2,1,75056,Paris,75
2024-09-23,470746.0,Appartement,37.9,1,75056,Paris,75
2022-04-30,296138.0,Appartement,30.7,1,75056,Paris,75
2023-10-05,448443.0,Appartement,42.0,1,75056,Paris,75
2024-10-26,304985.0,Appartement,28.1,1,75056,Paris,75
2022-04-27,543230.0,Appartement,51.1,1,75056,Paris,75
2023-01-16,456044.0,Appartement,52.2,1,75056,Paris,75
2023-04-27,246666.0,Appartement,28.4,1,75056,Paris,75
2023-05-20,460830.0,Appartement,37.3,1,75056,Paris,75
2022-06-17,359810.0,Appartement,42.0,1,75056,Paris,75
